citypair,aircraft,sum_departures_performed,sum_departures_scheduled,passengers,seats,avg_fuel_price,avg_stock_price,total_operating_expense,quarter,year,revenue
BHM-MDW,Boeing 737-700/700LR/Max 7,162.0,166.0,12939.0,23166.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-AUS,Boeing 737-700/700LR/Max 7,103.0,104.0,11867.0,14729.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-BOS,Boeing 737-300,56.0,59.0,6830.0,7906.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-BWI,Boeing 737-300,158.0,170.0,15718.0,22282.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-BWI,Boeing 737-700/700LR/Max 7,228.0,239.0,21533.0,32604.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-BWI,Boeing 737-800,71.0,75.0,8281.0,12425.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-CHS,Boeing 737-700/700LR/Max 7,86.0,87.0,9779.0,12298.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-CLE,Boeing 737-700/700LR/Max 7,154.0,158.0,16850.0,22022.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-CMH,Boeing 737-300,90.0,91.0,9455.0,12654.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-DAL,Boeing 737-700/700LR/Max 7,154.0,156.0,17529.0,22022.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-DAL,Boeing 737-800,71.0,73.0,10128.0,12425.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-DCA,Boeing 737-700/700LR/Max 7,242.0,252.0,24530.0,34606.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-DEN,Boeing 737-300,23.0,24.0,3058.0,3271.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-DEN,Boeing 737-700/700LR/Max 7,84.0,86.0,10056.0,12012.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-DEN,Boeing 737-800,170.0,173.0,24906.0,29750.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
